"date","produced","destroyed","mining.value"
2013-04-24,2639715826321.69,776852058650.94,906504630328.153
2013-04-25,2567707423780.82,721864609602.969,896491854634.804
2013-04-26,2646354349103.98,796173438225.206,839677954619.667
2013-04-27,2686405934770.32,1143039436591.94,1189931927516.62
2013-04-28,3192258003925.84,1265295512270.07,1201231822716.89
2013-04-29,2994466265973.74,944423021037.744,981333310757.064
2013-04-30,2810901512749.54,1037821495532.89,1041081809348.66
2013-05-01,3130493227824.11,916537335779.396,1199247482012.33
2013-05-22,2804910739253.05,902861617608.603,1278794179249.71
2013-05-23,2823587116924.93,1063514533263.52,1255602532777.11
2013-05-24,2898749807915.31,1117501526054.07,1251125198759.57
2013-05-25,2858165200730.95,1285316493251.97,1452058321488.95
2013-05-26,2932294211746.19,1428618419596.3,1570128147991.37
2013-05-27,2917639278818.57,1100545452547.68,1377991275243.27
2013-05-28,3137315159025.16,917956887265.219,1342084606895.04
2013-05-29,2888034271979.26,1048962287939.19,1349071766416.95
2013-05-30,3325233586542.9,953698167295.115,1377010755436.4
2013-05-31,3150467063126.5,825634391109.869,1183335984357.53
2013-06-01,3304659818089.73,1403144743344.01,1425310463090.18
2013-06-02,3112811479968.47,471290591115.074,623611256044.172
2013-06-03,2461572881635.07,709595416557.189,640662054845.614
2013-06-04,2879851919842.87,974576992260.186,831836673662.929
2013-06-05,3019180831790.46,1068093335886.5,972421494506.953
2013-06-06,2870292208099.97,970849966529.733,1010566766266.17
2013-06-07,3094099703066.97,950856136054.76,869989929714.851
2013-06-08,3263503334253.44,1256008625082.94,1039811305695.98
2013-06-09,3409732424937.96,1510558970716.73,1122551871250.72
2013-06-10,3196578443622.52,1257808983829.2,853193888899.601
2013-06-11,3281478323582.07,1071012764822.22,914700677815.388
2013-06-12,3338254149554.34,1061268549646.82,931435229387.504
2013-06-13,2992555360765.17,1064661991662.04,971923554873.848
2013-06-14,2997026038435.99,962179565184.6,868087752403.881
2013-06-15,3319889238314.06,1232972111420.93,1020427293765.79
2013-06-16,3093419327079.08,1386694561802.67,1059032453819.25
2013-06-17,3003019393984.54,1000039757376.9,869530568900.02
2013-06-18,2978362308730.79,949635758957.012,872891373114.022
2013-06-19,2894311213548.79,899159173281.811,936267232295.157
2013-06-20,2863147177570.48,922318183746.386,926984840868.348
2013-06-21,2940326021898.44,808530031343.094,848608437520.716
2013-06-22,3042015125786.7,1335502679868.38,999890611464.874
2013-06-23,2798517703909.13,1448327243017.39,1128442756083.37
2013-06-24,2872367724422.58,1026949131643.15,819939358428.344
2013-06-25,2862249407966.02,896674532222.438,874688004095.043
2013-06-26,3078414713546.97,936985871491.761,933826898388.125
2013-06-27,2872004470134.67,1027708159833.7,934570125249.896
2013-06-28,3043768127023.73,939236737302.304,851225229726.472
2013-06-29,3059242952094.24,1334686175229.67,966150743611.834
2013-06-30,3322552617601.14,1296827832310.83,1052593968597.32
2013-07-01,3204668385645.91,850986794436.207,810387863525.303
2013-07-02,2953162012538.7,801313986610.149,817629047506.732
2013-07-03,3150418956399.57,876433357434.574,669662005707.706
2013-07-04,2883467034556.98,1206471012925.12,941093954347.159
2013-07-05,2870869926205.41,981766288569.77,833542652408.499
2013-07-06,3073154211012.64,1278500717228.95,958935148137.303
2013-07-07,3128621167188.79,1214731918670.73,1038509156977.64
2013-07-08,3189234830246.69,990401113996.281,825878590505.025
2013-07-09,2772815468039.09,883086801478.022,859929795066.731
2013-07-10,2942581683548.99,861290598673.561,891416234195.693
2013-07-11,2973371964229.37,814006691876.008,888949274781.833
2013-07-12,2913004478594.19,837403263759.96,776368262943.691
2013-07-13,3023124603266.64,1116554995179.36,926434322136.293
2013-07-14,3311515693648.5,1186088119394.94,1021357376221.61
2013-07-15,2821017955709.19,823474465201.247,803794455137.939
2013-07-16,2681888786839.48,908170284471.664,844222359399.059
2013-07-17,2742543977325.39,875012655781.253,866320676848.562
2013-07-18,2866916896861.03,1079917533638.33,877700055541.835
2013-07-19,2861920823834.08,849956784933.23,830793020002.278
2013-07-20,2886740052051.88,1179431216191.4,948192059546.365
2013-07-21,2992245952126.17,1148792489284.54,1003281506317.13
